neighbourhood_group,neighbourhood,latitude,longitude,room_type,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,price
Brooklyn,Williamsburg,40.71577,-73.9553,Entire home/apt,3,11,0.87,1,1,295
Manhattan,Washington Heights,40.84917,-73.94048,Private room,2,2,0.16,1,0,70
Brooklyn,Bedford-Stuyvesant,40.68993,-73.95947,Private room,2,0,,2,0,58
Brooklyn,Bedford-Stuyvesant,40.68427,-73.93118,Entire home/apt,3,87,4.91,1,267,75
Queens,Woodside,40.74705,-73.89564,Private room,5,13,0.25,1,0,38
Manhattan,Hell's Kitchen,40.76354,-73.99283,Entire home/apt,30,3,0.21,31,270,100
Manhattan,Upper East Side,40.76786,-73.95639,Entire home/apt,7,1,1.0,1,43,260
Manhattan,West Village,40.73316,-74.00476,Entire home/apt,1,42,1.32,1,4,147
Brooklyn,Greenpoint,40.72527,-73.94803,Private room,1,0,,1,0,34
Brooklyn,Crown Heights,40.6752,-73.94366,Private room,1,0,,1,0,65
Manhattan,East Village,40.729,-73.98098,Entire home/apt,30,6,0.24,9,150,125
Manhattan,Theater District,40.76193,-73.98573,Entire home/apt,30,0,,65,338,310
Brooklyn,Bushwick,40.69867,-73.91968,Private room,1,0,,5,329,50
Manhattan,East Village,40.7233,-73.97882,Private room,1,4,0.61,1,0,79
Brooklyn,Boerum Hill,40.68906,-73.98983,Entire home/apt,30,1,1.0,2,63,329
Queens,Elmhurst,40.7479,-73.87496,Private room,1,0,,2,170,115
Brooklyn,Bushwick,40.70218,-73.93034,Entire home/apt,3,3,0.48,1,0,140
Brooklyn,Fort Greene,40.69265,-73.97009,Entire home/apt,3,95,1.51,2,112,225
Manhattan,Harlem,40.79865,-73.95295,Private room,1,0,,5,281,149
Brooklyn,Sheepshead Bay,40.60111,-73.95702,Private room,2,7,3.82,1,124,50
Manhattan,Harlem,40.80485,-73.9581,Private room,30,0,,7,364,88
Queens,Flushing,40.75644,-73.82875,Entire home/apt,2,1,0.16,1,0,200
Brooklyn,Williamsburg,40.71588,-73.94297,Entire home/apt,14,4,0.12,1,0,160
Brooklyn,Bedford-Stuyvesant,40.6844,-73.9358,Entire home/apt,2,51,5.03,1,89,125
Manhattan,Washington Heights,40.8469,-73.94522,Private room,4,14,0.23,3,0,75
Queens,Jackson Heights,40.75068,-73.87739,Private room,2,5,2.5,1,57,80
Brooklyn,Fort Greene,40.6873,-73.97225,Entire home/apt,2,1,0.02,1,0,140
Brooklyn,Fort Greene,40.68515,-73.97381,Entire home/apt,2,15,1.91,1,41,134
Brooklyn,Prospect-Lefferts Gardens,40.66145,-73.96005,Private room,10,1,0.02,1,0,65
Brooklyn,Greenpoint,40.72713,-73.94141,Entire home/apt,30,7,0.12,52,327,159
Manhattan,East Village,40.72656,-73.98758,Entire home/apt,2,16,5.78,1,52,300
Queens,Jamaica,40.68055,-73.78263,Private room,1,0,,1,180,95
Manhattan,Murray Hill,40.74476,-73.9755,Private room,15,0,,1,0,70
Brooklyn,Clinton Hill,40.68634,-73.96161,Entire home/apt,2,58,0.61,6,199,248
Manhattan,Washington Heights,40.83571,-73.94179,Entire home/apt,1,1,1.0,5,364,750
Brooklyn,Bushwick,40.69423,-73.91993,Private room,2,3,0.12,1,0,90
Brooklyn,Williamsburg,40.71972,-73.94462,Entire home/apt,30,5,0.42,8,161,80
Manhattan,Washington Heights,40.85798,-73.92855,Entire home/apt,7,0,,1,67,85
Brooklyn,Flatbush,40.65468,-73.95703,Private room,3,3,0.08,1,0,50
Brooklyn,Williamsburg,40.72084,-73.9554,Entire home/apt,2,4,0.58,1,0,295
Manhattan,Lower East Side,40.72317,-73.99084,Private room,14,0,,1,0,80
Manhattan,East Village,40.72367,-73.98401,Private room,3,0,,1,0,109
Manhattan,West Village,40.73326,-74.00604,Private room,3,16,0.26,1,0,100
Brooklyn,Bedford-Stuyvesant,40.68585,-73.94875,Private room,2,27,0.78,1,339,45
Queens,Ditmars Steinway,40.77906,-73.91265,Entire home/apt,3,38,0.62,1,243,135
Bronx,Port Morris,40.80273,-73.91519,Entire home/apt,4,9,3.97,3,124,115
Manhattan,Upper East Side,40.77372,-73.94803,Private room,5,7,0.15,1,341,185
Brooklyn,Greenpoint,40.73561,-73.95873,Entire home/apt,3,3,0.48,1,42,150
Manhattan,Kips Bay,40.74005,-73.97884,Entire home/apt,30,0,,232,312,290
Brooklyn,Canarsie,40.63773,-73.91729,Private room,1,5,0.53,2,0,80
Brooklyn,Bushwick,40.6932,-73.90639,Private room,1,26,2.52,3,0,65
Brooklyn,Prospect-Lefferts Gardens,40.65889,-73.95627,Private room,31,3,0.27,2,242,45
Brooklyn,East Flatbush,40.66048,-73.93335,Entire home/apt,1,127,6.54,1,7,80
